state,count
Alaska,10.0
Alabama,11.0
Arkansas,5.0
Arizona,112.0
California,536.0
Colorado,98.0
Connecticut,17.0
District of Columbia,104.0
Delaware,13.0
Florida,129.0
Georgia,22.0
Guam,0.0
Hawaii,42.0
Iowa,93.0
Idaho,10.0
Illinois,284.0
Indiana,49.0
Kansas,18.0
Kentucky,40.0
Louisiana,30.0
Massachusetts,104.0
Maryland,60.0
Maine,25.0
Michigan,149.0
Minnesota,139.0
Missouri,50.0
Northern Marina Islands,
Mississippi,6.0
Montana,18.0
North Carolina,25.0
North Dakota,4.0
Nebraska,36.0
New Hampshire,21.0
New Jersey,102.0
New Mexico,18.0
Nevada,17.0
New York,259.0
Ohio,86.0
Oklahoma,21.0
Oregon,60.0
Pennsylvania,327.0
Puerto Rico,27.0
Rhode Island,22.0
South Carolina,40.0
South Dakota,18.0
Tennessee,12.0
Texas,99.0
Utah,12.0
Virginia,56.0
US Virgin Islands,0.0
Vermont,10.0
Washington,204.0
Wisconsin,114.0
West Virginia,9.0
Wyoming,7.0
Total,3780.0
